id_person,dob,city,state,country,region,group,lat,long
292114,1996,Auburn,NY,US,Northern America,Northern America,42.93202,-76.567203
268257,1997,Auburn,WA,US,Northern America,Northern America,47.307537,-122.230181
268394,1995,Aurora,CO,US,Northern America,Northern America,39.729432,-104.83192
268096,1996,Austin,TX,US,Northern America,Northern America,30.271129,-97.743699
257135,1995,Avon Park,FL,US,Northern America,Northern America,27.596083,-81.506086
268157,1995,Avon Park,FL,US,Northern America,Northern America,27.596083,-81.506086
226223,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
240423,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
256281,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
256310,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
256311,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
256701,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
257201,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267908,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
289548,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
293994,1995,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
240249,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
256240,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
256305,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
256397,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
258850,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267314,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267454,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267665,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
269443,1996,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
259712,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
260603,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267361,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267442,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267496,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267591,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
267868,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
290363,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
293087,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
293310,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
293937,1997,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
268525,1998,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
269597,1998,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
289545,1998,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
292269,1998,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
292308,1998,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
293444,1998,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
290209,1999,Azua,Azua,DO,Caribbean,Latin America and the Caribbean,18.453259,-70.732401
227781,1995,Bajabonica Arriba,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
238295,1995,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
267690,1995,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
267926,1995,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
238159,1996,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
256327,1996,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
257597,1996,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
290833,1996,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
293981,1996,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
256256,1997,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
267330,1997,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
267493,1997,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
269598,1997,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
293520,1997,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
289511,1998,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
290361,1998,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
290120,1999,Bajos de Haina,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.413899,-70.032297
292321,1996,New Taipei,,TW,Eastern Asia,Asia,25.012027,121.465717
194414,1995,Willemstad,,CW,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
238674,1995,Baltimore,MD,US,Northern America,Northern America,39.290861,-76.610807
260281,1995,Baltimore,MD,US,Northern America,Northern America,39.290861,-76.610807
257336,1996,Baltimore,MD,US,Northern America,Northern America,39.290861,-76.610807
228911,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
238195,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
238323,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
238336,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
238362,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
238570,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
239128,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
239815,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
240333,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256409,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256698,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
258409,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
259148,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
267298,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
267300,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
267400,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
267458,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
272015,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
289414,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
291429,1995,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
238147,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
238260,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
238297,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
239725,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256239,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256249,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256325,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256360,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256412,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256908,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
257602,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
259133,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
