id_person,season,classifica,category,league_name,team_name,team_id
23096,2016,MLB,MLB,National,MIA,2016_National_MIA
23096,2016,MLB,MLB,National,SD,2016_National_SD
23096,2016,MLB,MLB,National,MIA,2016_National_MIA
23096,2016,MLB,MLB,National,SD,2016_National_SD
23329,2016,MLB,MLB,American,CLE,2016_American_CLE
23329,2016,MLB,MLB,American,TB,2016_American_TB
23329,2016,MLB,MLB,American,CLE,2016_American_CLE
23329,2016,MLB,MLB,American,TB,2016_American_TB
23384,2016,MLB,MLB,National,CIN,2016_National_CIN
23384,2016,MLB,MLB,National,CIN,2016_National_CIN
23385,2016,MLB,MLB,American,HOU,2016_American_HOU
23385,2016,MLB,MLB,American,HOU,2016_American_HOU
23451,2016,MLB,MLB,American,LAA,2016_American_LAA
23451,2016,MLB,MLB,American,LAA,2016_American_LAA
23541,2016,MLB,MLB,National,CIN,2016_National_CIN
23541,2016,MLB,MLB,National,CIN,2016_National_CIN
23693,2016,MLB,MLB,American,MIN,2016_American_MIN
23693,2016,MLB,MLB,American,MIN,2016_American_MIN
23700,2016,MLB,MLB,American,DET,2016_American_DET
23700,2016,MLB,MLB,American,DET,2016_American_DET
23701,2016,MLB,MLB,American,LAA,2016_American_LAA
23701,2016,MLB,MLB,American,LAA,2016_American_LAA
24128,2016,MLB,MLB,National,WSH,2016_National_WSH
24128,2016,MLB,MLB,National,WSH,2016_National_WSH
24193,2016,MLB,MLB,American,TEX,2016_American_TEX
24193,2016,MLB,MLB,American,TEX,2016_American_TEX
24334,2016,MLB,MLB,National,STL,2016_National_STL
24334,2016,MLB,MLB,National,STL,2016_National_STL
24357,2016,MLB,MLB,American,CLE,2016_American_CLE
24357,2016,MLB,MLB,American,CLE,2016_American_CLE
24359,2016,MLB,MLB,American,SEA,2016_American_SEA
24359,2016,MLB,MLB,American,SEA,2016_American_SEA
24532,2016,MLB,MLB,National,LAD,2016_National_LAD
24532,2016,MLB,MLB,National,LAD,2016_National_LAD
24553,2016,MLB,MLB,National,CIN,2016_National_CIN
24553,2016,MLB,MLB,National,CIN,2016_National_CIN
24675,2016,MLB,MLB,National,CIN,2016_National_CIN
24675,2016,MLB,MLB,National,CIN,2016_National_CIN
24710,2016,MLB,MLB,National,PHI,2016_National_PHI
24710,2016,MLB,MLB,National,PHI,2016_National_PHI
24971,2016,MLB,MLB,American,NYY,2016_American_NYY
24971,2016,MLB,MLB,American,NYY,2016_American_NYY
25170,2016,MLB,MLB,National,MIA,2016_National_MIA
25170,2016,MLB,MLB,National,MIA,2016_National_MIA
25709,2016,MLB,MLB,American,TOR,2016_American_TOR
25709,2016,MLB,MLB,American,TOR,2016_American_TOR
26220,2016,MLB,MLB,American,TOR,2016_American_TOR
26220,2016,MLB,MLB,American,TOR,2016_American_TOR
26499,2016,MLB,MLB,American,CWS,2016_American_CWS
26499,2016,MLB,MLB,American,CWS,2016_American_CWS
26830,2016,MLB,MLB,American,BOS,2016_American_BOS
27045,2016,MLB,MLB,American,NYY,2016_American_NYY
27045,2016,MLB,MLB,American,NYY,2016_American_NYY
27243,2016,MLB,MLB,American,CLE,2016_American_CLE
27243,2016,MLB,MLB,American,CLE,2016_American_CLE
27531,2016,MLB,MLB,National,SF,2016_National_SF
27531,2016,MLB,MLB,American,TB,2016_American_TB
27531,2016,MLB,MLB,National,SF,2016_National_SF
27531,2016,MLB,MLB,American,TB,2016_American_TB
27738,2016,MLB,MLB,National,WSH,2016_National_WSH
27738,2016,MLB,MLB,National,WSH,2016_National_WSH
28044,2016,MLB,MLB,American,TEX,2016_American_TEX
28044,2016,MLB,MLB,American,TEX,2016_American_TEX
28104,2016,MLB,MLB,National,MIL,2016_National_MIL
28104,2016,MLB,MLB,National,MIL,2016_National_MIL
28316,2016,MLB,MLB,American,BAL,2016_American_BAL
28316,2016,MLB,MLB,American,SEA,2016_American_SEA
28316,2016,MLB,MLB,American,SEA,2016_American_SEA
28452,2016,MLB,MLB,American,KC,2016_American_KC
28452,2016,MLB,MLB,American,KC,2016_American_KC
28529,2016,MLB,MLB,American,TB,2016_American_TB
28529,2016,MLB,MLB,American,TB,2016_American_TB
28618,2016,MLB,MLB,National,MIA,2016_National_MIA
28618,2016,MLB,MLB,National,MIA,2016_National_MIA
28756,2016,MLB,MLB,National,MIL,2016_National_MIL
28756,2016,MLB,MLB,National,MIL,2016_National_MIL
28802,2016,MLB,MLB,American,SEA,2016_American_SEA
28802,2016,MLB,MLB,American,TOR,2016_American_TOR
28802,2016,MLB,MLB,American,SEA,2016_American_SEA
28802,2016,MLB,MLB,American,TOR,2016_American_TOR
28867,2016,MLB,MLB,American,CWS,2016_American_CWS
28867,2016,MLB,MLB,American,CWS,2016_American_CWS
28872,2016,MLB,MLB,National,ATL,2016_National_ATL
28890,2016,MLB,MLB,National,WSH,2016_National_WSH
28890,2016,MLB,MLB,National,WSH,2016_National_WSH
29280,2016,MLB,MLB,National,ATL,2016_National_ATL
29280,2016,MLB,MLB,National,NYM,2016_National_NYM
29280,2016,MLB,MLB,National,NYM,2016_National_NYM
29608,2016,MLB,MLB,American,CWS,2016_American_CWS
29608,2016,MLB,MLB,American,CWS,2016_American_CWS
29757,2016,MLB,MLB,National,ARI,2016_National_ARI
29893,2016,MLB,MLB,National,COL,2016_National_COL
29893,2016,MLB,MLB,National,COL,2016_National_COL
30059,2016,MLB,MLB,National,NYM,2016_National_NYM
30059,2016,MLB,MLB,National,NYM,2016_National_NYM
30066,2016,MLB,MLB,National,MIA,2016_National_MIA
30066,2016,MLB,MLB,National,MIA,2016_National_MIA
30421,2016,MLB,MLB,American,NYY,2016_American_NYY
30421,2016,MLB,MLB,American,NYY,2016_American_NYY
30549,2016,MLB,MLB,National,NYM,2016_National_NYM
30549,2016,MLB,MLB,National,NYM,2016_National_NYM
30650,2016,MLB,MLB,National,LAD,2016_National_LAD
30650,2016,MLB,MLB,National,LAD,2016_National_LAD
30840,2016,MLB,MLB,American,BOS,2016_American_BOS
31284,2016,MLB,MLB,National,MIL,2016_National_MIL
31284,2016,MLB,MLB,National,MIL,2016_National_MIL
31502,2016,MLB,MLB,National,ATL,2016_National_ATL
31663,2016,MLB,MLB,American,CLE,2016_American_CLE
31663,2016,MLB,MLB,American,CLE,2016_American_CLE
31682,2016,MLB,MLB,American,MIN,2016_American_MIN
31682,2016,MLB,MLB,American,MIN,2016_American_MIN
